# basis fun,max log like
110,1747398.1
450,1780949.9
210,1761750.0
120,1747737.5
660,1784249.0
180,1756570.1
320,1778744.5
510,1782036.0
100,1746881.8
200,1759394.0
470,1781273.0
590,1783474.0
240,1766780.1
620,1783741.5
570,1783114.5
280,1774206.9
490,1781472.2
550,1782929.1
300,1777287.6
160,1752182.1
440,1780922.6
390,1780436.5
170,1753886.9
610,1783635.4
600,1783511.2
230,1765914.5
330,1779076.5
410,1780661.5
420,1780784.6
650,1784113.5
260,1771273.1
360,1780069.9
370,1780170.5
220,1763666.5
640,1784090.9
270,1772663.0
400,1780602.6
150,1750753.4
680,1784464.0
380,1780253.1
700,1784658.0
140,1750172.2
630,1783791.5
130,1748250.9
690,1784526.0
460,1781159.6
310,1778073.5
580,1783252.0
670,1784304.0
480,1781436.1
250,1769117.9
530,1782407.4
520,1782182.8
340,1779746.0
350,1779953.5
500,1781790.6
540,1782578.6
290,1775381.0
430,1780821.2
560,1782935.5
190,1758262.5
