# basis fun,max log like
450,1775272.8
160,1747975.5
580,1777656.9
120,1743909.6
420,1775105.6
440,1775239.0
260,1765347.2
570,1777513.6
500,1776159.2
200,1754254.2
350,1774452.5
110,1743704.1
380,1774667.2
220,1758059.5
190,1753612.5
700,1778943.4
490,1775734.2
480,1775695.5
680,1778739.5
230,1760251.9
620,1778092.5
270,1766796.0
300,1771722.5
150,1746726.1
370,1774489.6
650,1778369.8
460,1775434.5
610,1777949.6
640,1778305.0
550,1777324.2
280,1768316.9
600,1777913.4
310,1772468.2
470,1775549.6
530,1776798.5
400,1774967.2
430,1775143.2
630,1778188.8
520,1776599.4
170,1749492.2
410,1774983.6
540,1776963.5
660,1778542.5
320,1773159.8
560,1777399.6
140,1746320.8
210,1756448.5
670,1778659.1
590,1777838.9
180,1752155.2
510,1776421.1
240,1760774.8
290,1769535.8
390,1774745.8
130,1744206.8
360,1774531.6
330,1773448.5
100,1743392.0
250,1763153.9
690,1778861.2
340,1774253.8
