# basis fun,max log like
100,1743350.0
110,1743650.5
120,1743849.8
130,1744150.8
140,1746261.1
150,1746677.4
160,1747916.0
170,1749417.4
180,1752078.1
190,1753536.0
200,1754163.5
210,1756366.5
220,1757969.5
230,1760162.9
240,1760688.1
250,1763066.8
260,1765243.2
270,1766687.9
280,1768219.8
290,1769435.1
300,1771611.5
310,1772348.9
320,1773034.2
330,1773331.1
340,1774129.6
350,1774339.9
360,1774388.9
370,1774450.2
380,1774523.8
390,1774635.6
400,1774852.6
410,1774899.8
420,1774951.1
430,1774992.5
440,1775073.6
450,1775123.1
460,1775275.1
470,1775376.2
480,1775524.0
490,1775568.1
500,1776003.6
510,1776254.9
520,1776409.9
530,1776605.1
540,1776781.2
550,1777166.1
560,1777205.2
570,1777342.5
580,1777460.6
590,1777656.8
600,1777706.4
610,1777772.1
620,1777902.0
630,1777997.8
640,1778154.8
650,1778168.9
660,1778346.8
670,1778463.2
680,1778552.6
690,1778646.0
700,1778717.5
