vma1_256_SGVB,vma1_256_VNPC,vma1_512_SGVB,vma1_512_VNPC,vma1_1024_SGVB,vma1_1024_VNPC
169.9191709,4042.778951,181.8595295,7102.06081,339.2912173,14502.26183
185.1643934,4433.10447,185.0589633,6531.131408,249.0209026,12776.94001
170.4542477,4009.685841,163.570379,7685.225598,196.446795,12379.59405
191.4442139,4155.308109,183.9385166,6419.491935,245.0619648,11458.02481
163.5447757,4136.622443,160.4984522,7860.550225,208.9588842,13548.60223
197.6665018,4845.380034,197.9064496,7076.535736,206.4659679,11378.58009
234.0162253,4065.076682,229.2628288,6327.087682,203.181442,14702.47613
261.1629469,4245.838865,184.6926,6707.580745,203.0849478,11406.10966
170.1997054,4764.764784,186.3958495,6525.86982,204.8883779,12668.95854
221.4197133,4209.278867,288.3982902,8413.432249,224.7068212,11350.21316
146.2455227,4057.76014,181.4443963,6522.318436,267.6078513,11573.75805
166.6991279,4409.349413,207.9486222,6421.300063,289.4514151,13892.26045
210.7908893,4257.95833,230.3703587,8274.49422,181.1672297,11057.6891
177.2589078,5083.547889,160.3215787,6568.286867,180.9162538,12009.15144
198.9388978,4073.103618,164.8963904,8955.017083,196.1148896,11313.97647
202.8139865,4105.476632,179.7727659,6573.334564,325.0771129,12782.30462
145.1343324,3397.266789,242.840858,6450.760423,264.9812818,13310.76081
145.4343016,4533.069021,156.2662323,6968.908986,235.1205206,12714.10083
216.7465446,3425.391577,180.0343666,7470.506078,253.2798505,14396.50858
162.9043827,3992.268117,182.1759748,6508.876805,187.7988436,13649.96592
180.0363748,4998.286049,235.1090498,8004.433823,187.7596772,11538.18691
176.8188591,3755.997502,201.9683535,6841.140653,334.6054041,11394.85675
240.981879,4340.064122,196.9161789,6635.087981,440.9623749,11377.82485
219.2161956,4634.126034,172.9266367,6574.402375,182.8804734,11764.15653
186.2069979,4626.795145,162.9604766,6965.756756,222.6264584,11385.72366
160.6110957,4243.241219,189.3666892,7820.695063,233.9557505,14233.28205
167.7469549,4237.434071,177.093112,7004.027806,265.7104926,14549.03582
150.8515882,4078.372337,190.8805478,6922.683003,186.0335937,12236.51909
180.7720096,4673.270378,155.5870242,6760.007479,224.8892839,11262.17501
197.2191663,4305.589998,182.2381966,6963.521527,224.9740365,11213.56864
197.0279577,4340.762593,241.1509788,7477.537806,175.3789458,14058.82998
151.1247702,4933.477623,169.1381199,6914.295658,180.3091381,11722.27081
151.5870278,4402.632076,182.5541205,6748.618538,175.7934992,11865.09358
145.059021,4436.54302,226.2109182,6294.297822,204.7315161,12643.64312
215.2707484,4072.969836,229.4750686,7588.71929,182.0894897,13456.92638
149.7117424,4026.209504,242.6105936,6897.509945,201.8298869,12025.47755
171.4084659,4365.97593,169.3737366,6931.213748,220.8460014,12043.16009
242.9798839,4671.534115,206.6686404,7112.237688,235.4671862,11379.95125
156.1682727,5156.007091,274.8646169,6937.737225,225.7387643,11332.11507
170.0017276,4586.833152,166.4619315,7417.97262,233.5156114,15242.12873
151.6577914,3692.590315,183.1736085,6854.597799,227.2898779,14422.51488
151.3262699,3722.25879,161.4918039,8250.050099,262.2440591,12108.1376
153.5798628,4181.305078,294.4375699,6831.538231,233.8609612,12401.46701
241.0315804,4259.507484,181.0360885,7374.501055,220.0884798,11676.30811
168.2994001,4268.918903,238.7093685,6919.889445,201.076061,12723.3622
170.0834157,4911.349693,227.4909468,6489.095329,247.8384786,12978.32265
230.0922828,4927.547862,178.4983907,7428.372627,279.7088575,12337.32618
269.9335449,4759.324105,175.8381443,7194.012395,187.1854491,13530.89636
146.0012195,4064.652258,160.6061327,9021.155566,176.5306928,11738.836
150.8695509,4036.090826,176.3908033,7011.750226,255.1017332,12194.72963
169.6213307,4092.161335,211.6058586,8534.636448,202.7123334,13623.05296
183.3054817,4090.60429,200.1854067,7327.76842,180.0227602,13715.46444
245.45943,3988.267954,306.1973455,6753.030087,176.3133638,14664.00487
198.4802952,4388.82152,245.9944122,6954.40869,211.9021652,13240.07501
151.6739743,3972.648484,280.7653315,6382.948462,250.1075957,13464.0192
267.0957139,4434.188999,155.6306837,6604.756193,306.0942929,11458.99645
179.6612127,3502.341951,160.5051556,6893.367027,203.0377007,11545.6232
146.9746919,4816.423788,233.8726473,6521.395413,183.0032964,12005.52036
203.1640711,4113.859648,200.2182214,7061.98572,247.2943509,12575.03996
199.8817255,4009.25172,201.9290915,6473.49634,401.5461349,14633.50599
208.4566276,4691.572749,159.7546332,6477.414141,176.4777658,12679.48184
160.9707201,4664.461715,208.03056,6315.844352,221.979722,13058.14486
204.9004457,4490.315389,162.662456,7151.774007,212.0662975,13413.50647
175.0820367,4037.684774,233.9408154,6774.90777,267.3080959,12121.41928
170.6090481,4130.178451,212.1044025,6661.458671,274.9388402,12125.49307
170.9849515,4654.499733,288.5489557,6478.815362,209.0172837,11200.59194
168.7328191,4168.892984,224.5246246,7155.005009,269.5350735,11519.02101
167.6614282,4688.489732,181.0566602,6326.105841,309.9714611,12588.59031
151.3310945,4070.686151,164.2354498,7236.1529,190.69682,14670.9842
170.9887693,4286.261304,160.9990892,6583.487239,206.7543931,12855.40869
199.7115631,4115.058008,157.4049299,6332.333539,186.6903193,11971.3997
237.2401648,4063.500116,269.2892084,6836.373809,180.9945152,11319.34989
230.4627924,4452.509027,187.5677023,8241.087111,247.8461521,12366.23069
146.7370284,4377.840657,180.6794472,7097.744277,197.9560738,12796.41651
148.2841871,4076.843442,206.4840672,6906.658552,206.548214,14747.24947
230.7217855,4077.116509,251.1435857,6864.919492,176.1968355,11295.69371
205.8555119,4902.955263,177.6881874,6620.678231,194.3701479,12702.02709
196.2873127,4047.759032,156.5828879,7908.754376,201.996141,11548.05688
170.6667342,4227.351583,210.4809537,7171.261594,182.9427125,12502.48175
185.3067551,4142.617335,155.9102089,8554.354643,184.3843806,12464.46059
197.3177228,4100.069671,210.3794465,7084.267972,225.5405233,14621.68009
221.5151637,4748.121716,160.7076943,6778.268521,225.7548368,14293.12886
171.4594545,4104.069025,166.8608737,6958.462722,197.4993944,12304.1452
159.4436975,4544.014182,199.8652341,6403.984543,209.7000012,11297.05845
145.5556228,4217.945467,227.6572959,8974.373829,294.7570395,11870.10285
201.6985235,4302.78341,274.8247855,7886.776785,210.5685036,11927.08939
166.9652023,4200.345191,206.6036704,6650.304705,225.6520951,14437.44512
168.2972419,4195.856311,181.8910663,8153.228358,267.437788,12440.43133
198.6186733,4047.314731,201.4867463,9037.491574,294.6037521,12062.95246
247.2340269,4437.800454,160.9183815,6589.534076,271.9641676,13393.95119
212.0200529,3963.09668,161.107676,6836.526113,206.0539689,14054.05283
176.2407141,4366.370179,170.6735835,7109.717594,260.8503931,14034.75452
203.7975357,4130.856805,213.3093796,7488.960928,311.606643,14523.50987
214.0128767,4133.529315,171.9765849,6929.577872,206.5141895,12862.32724
243.5115678,4239.856146,184.289737,6585.360559,231.9129391,12811.99659
163.675575,4032.757895,207.3935599,6437.23351,283.121367,11659.48662
151.0340445,4400.694613,226.9686768,8245.43899,174.4797373,12444.69531
169.4106092,4172.364184,170.282186,6505.951914,231.4462662,11848.79602
145.8189976,4345.490151,214.0447307,6956.214013,203.981492,13241.8115
245.4480028,5013.390641,182.6305859,6585.11191,258.7563918,11333.79574
194.4654315,3440.418343,155.4494078,7622.742071,216.6939499,14000.29596
259.7227359,4567.824914,170.3888953,7120.320339,199.6053727,11274.18288
179.1844757,4467.765751,272.0257661,6519.576443,310.034097,11582.20821
161.3949764,5025.513395,176.700906,6387.250992,176.9008062,12894.89983
151.7329447,4070.79852,160.9520779,8275.416887,183.8824162,13509.07302
267.9837499,3971.733902,206.4296269,6258.728596,298.0724173,14191.71128
178.5063741,4931.036006,228.7252016,7116.370125,235.8076792,13586.04015
170.6854532,4092.263705,159.8548748,8257.16603,254.2069998,11361.25658
219.352427,3994.621849,258.3917894,7505.956069,236.2143822,13481.16429
221.8163235,4388.555494,197.1897128,6370.575706,254.1176023,11697.76989
169.2011106,4297.8307,174.3787844,6226.460463,204.5477245,12774.69086
171.6937201,4049.931441,202.1796956,7039.074385,302.0859978,11829.80474
153.0199187,4639.293999,251.7000458,7648.163491,238.6137834,13225.42847
150.8300731,4176.720006,183.4800131,7040.846496,285.0983624,12227.89044
165.0143325,4573.74502,181.8865185,6619.475685,231.3994889,12485.75823
179.8406067,4195.958414,159.1359262,6412.312487,219.9598129,11821.47607
169.9853456,5126.986648,216.5376439,6492.515865,201.2712696,13164.04025
151.782748,4074.943561,210.7214456,6651.952155,198.8681314,14222.17432
167.8496706,4033.418483,174.1512117,6939.969674,257.022655,13955.02335
263.256001,4038.387467,198.5112021,6857.623963,223.8929338,11803.28171
189.32199,4171.025783,189.3468828,8202.044424,185.332432,18389.70672
273.8717775,4025.657857,203.5426464,7505.640249,175.1196806,11482.47601
205.0077436,4800.816158,162.6360748,6395.898118,180.8512595,12600.72994
242.3613467,4030.811961,193.1649201,7104.59644,204.597368,9123.630241
239.5645626,4563.372095,185.4224575,7485.24621,210.5086839,12366.5454
189.1205597,4679.062434,297.5033062,8280.517144,211.4806616,11390.83147
160.3985412,4579.981312,175.5110602,6712.912238,291.8809755,12570.95205
156.3538227,4084.743104,221.8153744,7969.211518,225.1838322,14120.99441
214.8978708,4106.932834,163.2519281,6824.704432,179.0685873,12983.96862
199.0566316,4098.441336,208.6298132,7962.367982,197.1987474,14194.91591
165.1933973,4642.557386,213.4309335,6561.985887,180.8106542,13239.75346
193.8230753,4154.990717,180.8187273,7526.360274,205.7046256,11765.80984
146.226342,4369.684014,179.992444,6830.849111,273.9037488,13681.09818
150.3106952,4470.921351,200.1233268,6564.16453,279.6737375,13254.3171
169.4325607,4064.072066,182.1977744,8340.401039,231.8112378,13259.32086
169.2662373,4812.696453,182.9558983,6735.039555,312.2082305,13882.19717
267.4276745,4693.935162,311.0751312,6944.356833,279.4056668,13472.94796
151.3805242,4095.628381,231.8297596,7279.213398,266.8800654,13474.10568
156.7591522,4651.860809,178.4778457,6419.464524,261.8735251,12541.09924
169.5880666,5021.678874,210.6178484,7815.719654,256.9301636,11922.57538
151.4301023,4617.622201,190.3029511,6564.728053,206.2857113,17605.68965
217.6853349,4026.588645,259.9912956,7033.959523,238.6213174,12887.1056
168.8513927,4444.965769,192.2010207,8020.409713,236.8808444,13046.71193
197.077852,3689.378073,168.262176,6639.148594,211.9384253,14818.96066
245.5030982,4289.208703,262.229594,6561.173538,207.0398736,11350.26926
196.5746288,4018.027645,182.344635,9426.498626,231.2684569,14514.40432
150.6181109,4379.736312,181.0303457,6481.835063,186.0724437,12816.57598
203.1223345,4379.663462,183.0971575,7965.944342,184.7499733,11127.18393
214.3026767,4156.493293,296.9839823,8541.270081,180.5889671,12300.38758
185.3237879,4174.877521,168.4550948,6418.142409,203.4460781,13239.87323
275.1700325,4099.468507,180.9532557,6423.74858,254.1873894,13525.05854
198.899883,4845.223936,160.2139313,7379.16006,254.1044927,12596.72037
187.5433457,4092.324191,156.4477787,9086.878444,199.7314703,12718.15347
198.138803,4098.260242,153.9045556,6692.809189,292.3556435,13268.82512
172.0328724,4474.766177,180.6586351,7054.336842,225.7154315,13336.40646
157.4932215,3994.160122,164.1860452,6421.38171,175.1970282,11579.85814
219.9993534,4644.406457,266.7458467,8428.694382,235.4659777,12563.61349
